City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saint George,US,37.1041,-113.5841,85.42,38,0,4.61,clear sky
79,Warangal,IN,18.0,79.5833,75.56,87,100,6.78,overcast clouds
80,Asyut,EG,27.181,31.1837,81.12,32,0,6.73,clear sky
81,Nurota,UZ,40.5614,65.6886,69.24,16,21,4.43,few clouds
82,Korla,CN,41.7597,86.1469,70.2,20,0,9.53,clear sky
83,Chipinge,ZW,-20.1883,32.6236,61.74,40,0,6.98,clear sky
84,Terrak,NO,65.087,12.3715,53.47,84,100,2.77,overcast clouds
85,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.57,59,74,8.66,broken clouds
86,Guayaramerin,BO,-10.8368,-65.3614,97.92,24,89,2.06,overcast clouds
87,Iqaluit,CA,63.7506,-68.5145,47.7,61,100,5.01,overcast clouds
88,Roald,NO,62.5833,6.1333,54.16,87,75,16.11,broken clouds
89,Husavik,IS,66.0449,-17.3389,46.02,78,97,1.79,overcast clouds
90,Saint-Philippe,RE,-21.3585,55.7679,69.39,86,65,15.35,light rain
91,Marienburg,PL,54.0359,19.0266,54.88,64,87,15.1,overcast clouds
92,Korem,ET,12.5058,39.5228,59.2,58,55,2.77,broken clouds
93,Chabahar,IR,25.2919,60.643,82.35,82,0,6.64,clear sky
94,Vestmanna,FO,62.1564,-7.1664,47.32,87,75,10.36,broken clouds
95,Llanes,ES,43.4198,-4.7549,66.13,80,100,8.68,overcast clouds
96,Lubango,AO,-14.9172,13.4925,64.31,50,10,4.05,clear sky
97,Barzas,RU,55.7167,86.3167,43.68,69,94,2.21,overcast clouds
98,Codrington,AU,-38.2667,141.9667,50.41,87,100,18.59,overcast clouds
99,Prainha,BR,-1.8,-53.48,98.26,30,95,5.39,overcast clouds
100,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.29,94,100,15.93,overcast clouds
101,Zastron,ZA,-30.3023,27.084,65.01,30,84,5.28,broken clouds
102,Port Alfred,ZA,-33.5906,26.891,63.18,91,98,5.01,overcast clouds
103,Narasannapeta,IN,18.4167,84.05,80.69,84,95,5.95,overcast clouds
104,Gravdal,NO,68.1214,13.5031,52.29,79,100,7.56,overcast clouds
105,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.67,82,100,17.2,overcast clouds
106,Plettenberg Bay,ZA,-34.0527,23.3716,59.86,78,100,10.13,overcast clouds
107,Ratne,UA,51.6683,24.5303,51.48,71,7,8.05,clear sky
108,Bathsheba,BB,13.2167,-59.5167,86.14,67,99,17.13,overcast clouds
109,Bubaque,GW,11.2833,-15.8333,81.12,82,100,12.1,overcast clouds
110,Port-Cartier,CA,50.0334,-66.8654,50.76,61,100,17.94,light rain
111,Red Bank,US,40.3471,-74.0643,79.88,38,7,0.56,clear sky
112,Ecublens,CH,46.529,6.5626,60.8,76,94,5.73,overcast clouds
113,Sao Filipe,CV,14.8961,-24.4956,78.94,81,80,11.32,broken clouds
114,Longyearbyen,SJ,78.2186,15.6401,30.04,80,75,10.36,broken clouds
115,Luderitz,NA,-26.6481,15.1594,63.09,73,99,6.55,overcast clouds
116,Loubomo,CG,-4.1997,12.6739,74.73,73,100,5.95,overcast clouds
117,Villa Maria,AR,-32.4075,-63.2402,79.83,23,100,22.5,overcast clouds
118,Laguna,US,38.421,-121.4238,78.35,55,0,3.44,clear sky
119,Bagotville,AU,-28.9833,153.4167,61.86,96,100,5.03,overcast clouds
120,Augusto Correa,BR,-1.0217,-46.635,84.33,61,19,8.61,few clouds
121,Monrovia,LR,6.3005,-10.7969,76.64,88,100,11.9,light rain
122,Carovigno,IT,40.708,17.655,78.98,80,6,13.71,clear sky
123,Sept-Iles,CA,50.2001,-66.3821,52.05,68,100,13.0,light rain
124,Baghdad,IQ,33.3406,44.4009,89.28,17,0,10.71,clear sky
125,Chuy,UY,-33.6971,-53.4616,64.72,59,0,14.56,clear sky
126,Marawi,PH,7.9986,124.2928,68.16,80,46,3.51,scattered clouds
127,Varadero,CU,23.1536,-81.2514,86.32,65,5,11.5,clear sky
128,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,87,20,13.8,few clouds
129,Noyabrsk,RU,63.1994,75.4507,47.8,77,8,8.9,clear sky
130,Cockburn Town,TC,21.4612,-71.1419,83.93,70,74,18.23,broken clouds
131,Xai-Xai,MZ,-25.0519,33.6442,70.43,71,0,10.16,clear sky
132,Kano,NG,12.0001,8.5167,79.45,70,100,8.79,overcast clouds
133,Comodoro Rivadavia,AR,-45.8667,-67.5,42.69,55,100,5.32,overcast clouds
134,Ozinki,RU,51.1786,49.6769,59.2,95,100,12.12,light rain
135,Koroni,GR,36.8,21.95,79.07,77,0,10.71,clear sky
136,Kazerun,IR,29.6195,51.6541,78.53,24,0,2.75,clear sky
137,Lagoa,PT,39.05,-27.9833,72.82,85,70,15.35,light rain
138,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,103.48,13,61,3.29,broken clouds
139,Meulaboh,ID,4.1363,96.1285,76.05,89,100,3.2,light rain
140,Muros,ES,42.7762,-9.0603,70.09,77,19,10.78,few clouds
141,Nador,MA,35.174,-2.9287,77.25,50,0,4.61,clear sky
142,Wattegama,LK,6.7989,81.4808,76.8,74,1,5.08,clear sky
143,Dyurtyuli,RU,55.4911,54.8688,52.07,82,99,6.58,overcast clouds
144,Malanje,AO,-9.5402,16.341,77.68,42,80,2.66,broken clouds
145,Akhtubinsk,RU,48.2795,46.1722,66.34,64,100,10.87,light rain
146,Kutum,SD,14.2,24.6667,71.08,76,100,21.3,moderate rain
147,Berlevag,NO,70.8578,29.0864,46.35,81,75,20.71,broken clouds
148,Sabha,LY,27.0377,14.4283,87.1,15,0,5.75,clear sky
149,Hofn,IS,64.2539,-15.2082,47.62,69,99,4.16,overcast clouds
