City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Torbay,CA,2022-09-13 17:58:29,47.6666,-52.7314,62.28,95,100,17.27
68,Hit,IQ,2022-09-13 18:01:50,33.6416,42.8251,92.86,18,0,12.77
69,Vannes,FR,2022-09-13 18:01:50,47.8333,-2.5,77.61,58,68,8.03
70,Saint-Philippe,RE,2022-09-13 18:01:50,-21.3585,55.7679,67.59,73,45,6.26
71,Zapolyarnyy,RU,2022-09-13 18:01:51,69.4154,30.8136,49.28,86,94,7.96
72,Cordoba,AR,2022-09-13 18:01:51,-31.4135,-64.1811,75.99,13,19,1.01
73,Opuwo,NA,2022-09-13 18:01:51,-18.0607,13.84,77.79,14,3,3.4
74,Bathsheba,BB,2022-09-13 18:01:52,13.2167,-59.5167,84.79,70,69,11.86
75,Hithadhoo,MV,2022-09-13 18:01:52,-0.6,73.0833,81.55,68,3,0.43
76,Thunder Bay,CA,2022-09-13 17:59:31,48.4001,-89.3168,64.38,68,40,13.8
77,Bredasdorp,ZA,2022-09-13 18:01:53,-34.5322,20.0403,52.56,94,0,5.97
78,Laguna,US,2022-09-13 18:01:53,38.421,-121.4238,77.02,60,0,13.8
79,Raudeberg,NO,2022-09-13 18:01:54,61.9875,5.1352,56.07,1,88,16.71
80,Chapada Dos Guimaraes,BR,2022-09-13 18:01:54,-15.4606,-55.7497,92.86,12,14,5.21
81,Qaqortoq,GL,2022-09-13 18:01:55,60.7167,-46.0333,47.23,76,22,6.49
82,Klaksvik,FO,2022-09-13 18:01:55,62.2266,-6.589,50.92,84,100,11.43
83,Moroto,UG,2022-09-13 18:01:56,2.5345,34.6666,71.83,65,100,6.62
84,Ribeira Grande,PT,2022-09-13 18:01:56,38.5167,-28.7,77.4,88,75,10.36
85,Chuy,UY,2022-09-13 18:01:56,-33.6971,-53.4616,60.76,70,34,13.76
86,Bloemhof,ZA,2022-09-13 18:01:57,-27.6469,25.607,64.78,34,29,2.8
87,Port Elizabeth,ZA,2022-09-13 18:01:57,-33.918,25.5701,60.1,92,1,0.92
88,Albina,SR,2022-09-13 18:01:58,5.5,-54.05,96.08,38,11,3.98
89,Mitu,CO,2022-09-13 18:01:58,1.1983,-70.1733,84.38,59,87,4.41
90,Lethem,GY,2022-09-13 18:02:58,3.3803,-59.7968,91.36,50,16,1.79
91,Codrington,AU,2022-09-13 18:02:59,-38.2667,141.9667,40.33,77,0,11.1
92,Stavern,NO,2022-09-13 18:02:59,59.0,10.0333,59.18,79,86,9.17
93,Boa Vista,BR,2022-09-13 18:03:00,2.8197,-60.6733,90.63,50,31,2.91
94,Peniche,PT,2022-09-13 18:03:00,39.3558,-9.3811,72.28,87,83,20.85
95,Marsala,IT,2022-09-13 18:03:01,37.7966,12.4352,79.93,58,0,4.65
96,Koindu,GN,2022-09-13 18:03:01,8.4386,-10.3253,73.38,93,100,2.62
97,Rio Gallegos,AR,2022-09-13 18:01:45,-51.6226,-69.2181,51.76,51,88,28.61
